"ID","Threat Name","IP Address Exemptions","Rule","CVE","Host","Category","Severity","Action","Packet Capture"
"32980","Microsoft IE HTML Uninitialized Memory Corruption Vulnerability","","Alert-All","CVE-2010-0807","client","code-execution","critical","default (reset-client)","disable"
"32981","Microsoft IE HTML Uninitialized Memory Corruption Vulnerability","","Alert-All","CVE-2010-0267","client","code-execution","critical","default (reset-client)","disable"
"32982","Microsoft Internet Explorer Memory Corruption Vulnerability","","Alert-All","CVE-2014-2786","client","code-execution","critical","default (reset-both)","disable"
"32983","Microsoft IE HTML Uninitialized Memory Corruption Vulnerability","","Alert-All","CVE-2010-0490","client","code-execution","critical","default (reset-both)","disable"
"32984","Microsoft Internet Explorer Uninitialized Memory Corruption Vulnerability","","Alert-All","CVE-2009-0075","client","code-execution","critical","default (reset-client)","disable"
"32985","Firefox Tracemonkey Component Remote Code Execution Vulnerability","","Alert-All","CVE-2009-2477","client","code-execution","high","default (reset-client)","disable"
"32986","Mozilla Firefox JavaScript DefineSetter Memory Corruption Vulnerability","","Alert-All","CVE-2008-2798","client","code-execution","high","default (reset-both)","disable"
"32987","Microsoft Internet Explorer Deleted Object Cache Memory Corruption Vulnerability","","Alert-All","CVE-2010-0244","client","code-execution","high","default (reset-both)","disable"
"32988","SSReader Pdg2 ActiveX Control Buffer Overflow Vulnerability","","Alert-All","CVE-2007-5892","client","overflow","high","default (reset-both)","disable"
"32989","uTorrent Torrent File Announce Header Parsing Buffer Overflow Vulnerability","","Alert-All","CVE-2007-0927","client","overflow","high","default (reset-client)","disable"
"32990","Sun Java Calendar Deserialization Arbitrary Command Execution Vulnerability","","Alert-All","CVE-2008-5353","client","code-execution","high","default (reset-both)","disable"
"32997","Microsoft Visio Attribute Validation Memory Corruption Vulnerability","","Alert-All","CVE-2010-0254","client","code-execution","medium","default (reset-client)","disable"
"32998","Microsoft Visio Index Calculation Memory Corruption Vulnerability","","Alert-All","CVE-2010-0256","client","code-execution","medium","default (reset-client)","disable"
"33002","Microsoft Cabview Corruption Validation Vulnerability","","Alert-All","CVE-2010-0487","client","code-execution","critical","default (reset-both)","disable"
"33003","Safari Webkit Plug-in Local File Access Vulnerability","","Alert-All","CVE-2008-4216","client","code-execution","high","default (reset-both)","disable"
"33004","OpenOffice HSQLDB Database Engine Java Code Execution Vulnerability","","Alert-All","CVE-2007-4575","client","code-execution","high","default (reset-client)","disable"
"33005","Adobe PDF JavaScript Method Handling Buffer Overflow Vulnerability","","Alert-All","CVE-2007-5659","client","code-execution","high","default (reset-client)","disable"
"33006","Adobe PDF File With Javascript Evasion","","Alert-All","CVE-2009-4324","client","code-execution","medium","default (reset-client)","disable"
"33007","Foxit Reader PDF File Action Buffer Overflow Vulnerability","","Alert-All","CVE-2009-0837","client","overflow","medium","default (reset-client)","disable"
"33008","Java Runtime Environment component Remote Code Execution Vulnerability","","Alert-All","CVE-2010-1423","client","code-execution","critical","default (reset-both)","disable"
"33009","Foxit Reader util.printf Buffer Overflow Vulnerability","","Alert-All","CVE-2008-1104","client","code-execution","high","default (reset-both)","disable"
"33010","Foxit Reader PDF File Action Security Bypass Vulnerability","","Alert-All","CVE-2009-0836","client","code-execution","medium","default (reset-client)","disable"
"33011","Safari WebKit XML External Entity Information Disclosure Vulnerability","","Alert-All","CVE-2009-1699","client","info-leak","medium","default (alert)","disable"
"33012","IPS and AntiVirus Script Evasion Technique Detected","","Alert-All","","client","code-execution","medium","default (alert)","disable"
"33013","IPS and AntiVirus Script Evasion Technique Detected","","Alert-All","","client","code-execution","medium","default (reset-client)","disable"
"33014","BigAnt Server  HTTP URI Parsing Buffer Overflow Vulnerability","","Alert-All","CVE-2008-1914","server","overflow","high","default (reset-server)","disable"
"33019","Adobe Acrobat and Reader Tiff File Parsing Remote Code Execution Vulnerability","","Alert-All","CVE-2010-0188","client","overflow","high","default (reset-client)","disable"
"33021","Microsoft IIS ASP Request Chunked Encoding Transfer Heap Overflow","","Alert-All","CVE-2002-0079","server","overflow","high","default (reset-server)","disable"
"33023","PHP memory_limit Remote Code Execution Vulnerability","","Alert-All","CVE-2004-0594","server","code-execution","high","default (reset-server)","disable"
"33025","Symantec AntiVirus Library UPX Parsing Buffer Overflow","","Alert-All","CVE-2005-0249","server","overflow","low","default (alert)","disable"
"33030","LiteSpeed Web Server Null-Byte Handling Information Disclosure Vulnerability","","Alert-All","CVE-2007-5654","server","info-leak","high","default (reset-server)","disable"
"33031","Microsoft IIS 5.0 Indexed Directory Disclosure Vulnerability","","Alert-All","CVE-2000-0951","server","info-leak","medium","default (reset-server)","disable"
"33032","Adobe Foxit Reader PDF Escape Remote Command Execution","","Alert-All","","client","code-execution","medium","default (reset-client)","disable"
"33041","Adobe Flash Player Memory Corruption Vulnerability","","Alert-All","CVE-2015-0327","client","code-execution","critical","default (reset-both)","disable"
"33042","Adobe Reader Memory Corruption Vulnerability","","Alert-All","CVE-2018-16002","client","code-execution","medium","default (alert)","disable"
"33044","Sun Java System Web Server 7.0u7 WEBDAV Format String","","Alert-All","CVE-2010-0388","server","overflow","high","default (reset-server)","disable"
"33045","Sun Java System Web Server Authorization Digest Heap Overflow Vulnerability","","Alert-All","CVE-2010-0387","server","overflow","high","default (reset-server)","disable"
"33046","Microsoft Sharepoint Server 2007 Cross Site Scripting Vulnerability","","Alert-All","CVE-2010-0817","server","info-leak","high","default (reset-server)","disable"
"33051","Microsoft IIS: UNC Mapped Virtual Host Source Disclosure","","Alert-All","","server","info-leak","high","default (reset-server)","disable"
"33056","Corehttp Remote Buffer Overflow Vulnerability","","Alert-All","CVE-2007-4060","server","overflow","high","default (reset-server)","disable"
"33057","Foxit PDF Reader Launch Remote Code Execution Vulnerability","","Alert-All","CVE-2010-1239","client","code-execution","critical","default (reset-both)","disable"
"33058","Microsoft Internet Information Server Hit Highlighting Authentication Bypass Vulnerability","","Alert-All","CVE-2007-2815","server","code-execution","high","default (reset-server)","disable"
"33065","Apple CUPS NULL Pointer Dereference Denial of Service Vulnerability","","Alert-All","CVE-2009-0949","server","dos","medium","default (reset-server)","disable"
"33069","Generic Exploit Host Webpage","","Alert-All","","client","exploit-kit","critical","default (reset-both)","disable"
"33073","Microsoft IIS ServerVariables_JScript. asp Information Disclosure","","Alert-All","","server","info-leak","medium","default (alert)","disable"
"33074","NetWin SurgeMail Webmail Server page Parameter Format String","","Alert-All","CVE-2008-1055","server","code-execution","medium","default (alert)","disable"
"33075","SAP Message Server Group Parameter Overflow","","Alert-All","","server","overflow","medium","default (alert)","disable"
"33080","Oracle TimesTen In-Memory Database evtdump module Format String Vulnerability","","Alert-All","CVE-2008-5440","server","code-execution","high","default (reset-server)","disable"
"33085","HP OpenView Network Node Manager Snmp.exe CGI Buffer Overflow","","Alert-All","CVE-2009-3849","server","overflow","high","default (reset-server)","disable"
"33088","Apple Mac OS X mDNSResponder Remote Buffer Overflow Vulnerability","","Alert-All","CVE-2007-2386","server","overflow","high","default (reset-server)","disable"
"33093","VLC Media Player ABC File Parsing Heap Integer Overflow Vulnerability","","Alert-All","CVE-2013-4233","client","overflow","high","default (reset-both)","disable"
"33094","Microsoft Windows Zipped File Decompression Buffer Overflow Vulnerability","","Alert-All","CVE-2004-0575","client","overflow","high","default (reset-server)","disable"
"33100","Adobe Flash Player Memory Corruption Vulnerability","","Alert-All","CVE-2015-3118","client","code-execution","critical","default (reset-both)","disable"
"33108","Adobe Reader Crafted PDF File Heap Corruption","","Alert-All","CVE-2006-5857","client","overflow","high","default (reset-client)","disable"
"33110","IBM Lotus Domino Web Access ActiveX Controls Buffer Overflow Vulnerability","","Alert-All","CVE-2010-0919","client","overflow","medium","default (alert)","disable"
"33112","Symantec Altiris Deployment Solution ActiveX File Download Vulnerability","","Alert-All","","client","overflow","medium","default (reset-client)","disable"
"33113","Liquid XML Studio LtXmlComHelp8.dll ActiveX OpenFile Buffer Overflow Vulnerability","","Alert-All","","client","overflow","high","default (reset-both)","disable"
"33114","SAP GUI SAPBExCommonResources ActiveX Command Execution Vulnerability","","Alert-All","","client","code-execution","high","default (reset-both)","disable"
"33115","OpenOffice.org XPM File Processing Integer Overflow Vulnerability","","Alert-All","CVE-2009-2949","client","overflow","high","default (reset-both)","disable"
"33116","Apache Pluto PortletV3AnnotatedDemo MultipartPortlet Arbitrary File Upload Vulnerability","","Alert-All","CVE-2018-1306","server","code-execution","high","default (reset-server)","disable"
"33118","Novell iPrint Client Date Time Parameter Buffer Overflow Vulnerability","","Alert-All","CVE-2009-1569","client","overflow","high","default (reset-both)","disable"
"33119","OpenOffice.org Microsoft Word File Processing Integer Underflow Vulnerability","","Alert-All","CVE-2009-3301","client","overflow","high","default (reset-both)","disable"
"33120","Microsoft Internet Explorer DOM mergeAttributes Memory Corruption Vulnerability","","Alert-All","CVE-2010-0247","client","overflow","high","default (reset-both)","disable"
"33122","Mozilla Firefox Location.Hostname Dom Property Cookie Theft Vulnerability","","Alert-All","CVE-2007-0981","client","info-leak","low","default (alert)","disable"
"33123","iLife Photocast XML Title Format String Vulnerability","","Alert-All","CVE-2007-0051","client","code-execution","medium","default (alert)","disable"
"33124","PHP Nuke HTTP Referer Header SQL Injection Vulnerability","","Alert-All","CVE-2007-1061","server","sql-injection","medium","default (alert)","disable"
"33125","Various Charset Encoding HTTP Response Evasion Detection","","Alert-All","","client","code-execution","low","default (alert)","disable"
"33126","UTF-7 Charset Encoding HTTP Response Evasion Detection","","Alert-All","","client","code-execution","low","default (alert)","disable"
"33127","Microsoft Office Excel Qsir/Qsif Record Remote Code Execution Vulnerability","","Alert-All","CVE-2009-1134","client","code-execution","medium","default (alert)","disable"
"33128","Mozilla Firefox Browser Engine Memory Corruption Vulnerability","","Alert-All","CVE-2009-3382","client","code-execution","high","default (reset-both)","disable"
"33129","Oracle Java Soundbank Resource Name Stack Buffer Overflow Vulnerability","","Alert-All","CVE-2010-0839,CVE-2010-4462","client","overflow","medium","default (alert)","disable"
"33130","IBM Informix Client SDK NFX File Processing Stack Buffer Overflow Vulnerability","","Alert-All","CVE-2009-3691","client","overflow","high","default (reset-both)","disable"
"33131","Apple Safari CSS Format Argument Handling Memory Corruption Vulnerability","","Alert-All","CVE-2010-0046","client","code-execution","high","default (reset-both)","disable"
"33132","Microsoft Windows GDI Information Disclosure Vulnerability","","Alert-All","CVE-2018-8424","client","info-leak","medium","default (alert)","disable"
"33133","Safari Remote Memory Corruption Vulnerability","","Alert-All","CVE-2010-0049","client","overflow","high","default (reset-both)","disable"
"33136","Adobe Download Manager getPlus ActiveX Control Buffer Overflow Vulnerability","","Alert-All","CVE-2009-3958","client","overflow","high","default (reset-both)","disable"
"33138","HP Power Manager formExportDataLogs Buffer Overflow Vulnerability","","Alert-All","CVE-2009-3999","server","overflow","critical","default (reset-server)","disable"
"33139","Multiple Products KeyView Excel File SST Parsing Integer Overflow Vulnerability","","Alert-All","","client","code-execution","high","default (reset-client)","disable"
"33140","OpenOffice Word Document Table Parsing Integer Underflow Vulnerability","","Alert-All","CVE-2009-0200","client","overflow","high","default (reset-client)","disable"
"33141","Novell iManager eDirectory Plugin Schema Buffer Overflow Vulnerability","","Alert-All","CVE-2009-4486","server","code-execution","high","default (reset-server)","disable"
"33143","PeerCast URI Parsing Stack Overflow Vulnerability","","Alert-All","CVE-2006-1148","server","overflow","high","default (reset-server)","disable"
"33144","Oracle OPMN Daemon Logging Function Format String Vulnerability","","Alert-All","CVE-2007-5561","server","code-execution","medium","default (reset-server)","disable"
"33145","OpenOffice Word File sprmTSetBrc Processing Buffer Overflow Vulnerability","","Alert-All","CVE-2009-3302","client","code-execution","high","default (reset-both)","disable"
"33146","Opera Browser Content Length Header Buffer Overflow Vulnerability","","Alert-All","","client","overflow","high","default (reset-client)","disable"
"33147","Mozilla Products JavaScript String Replace Memory Corruption Vulnerability","","Alert-All","CVE-2009-3075","client","code-execution","high","default (reset-both)","disable"
"33148","Microsoft Office PowerPoint Remote Code Execution Vulnerability","","Alert-All","CVE-2010-0034","client","overflow","high","default (reset-both)","disable"
"33149","Microsoft Office Excel Sheet Object Type Confusion Vulnerability","","Alert-All","CVE-2010-0258","client","code-execution","high","default (reset-both)","disable"
"33150","Apple QuickTime FlashPix Movie File Integer Overflow Vulnerability","","Alert-All","CVE-2010-0519","client","overflow","high","default (reset-both)","disable"
"33151","Microsoft Office Excel Could Allow Remote Code Execution Vulnerability","","Alert-All","CVE-2009-3132","client","overflow","high","default (reset-both)","disable"
"33152","Microsoft Office PowerPoint Remote Code Execution Vulnerability","","Alert-All","CVE-2010-0032","client","code-execution","high","default (reset-both)","disable"
"33153","HP OpenView Network Node Manager nnmRptConfig.exe Template Buffer Overflow Vulnerability","","Alert-All","CVE-2009-3848","server","overflow","high","default (reset-server)","disable"
"33154","Sun Java Runtime Environment JPEGImageReader Heap Overflow Vulnerability","","Alert-All","CVE-2009-3874","client","overflow","critical","default (reset-client)","disable"
